plant,disease,image
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1000015157.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1001320321.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1003888281.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1012426959.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1018973237.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\102039365.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1021758544.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1024089865.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\102485576.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1026467332.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1027796931.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1033403106.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1036959902.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1040315063.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1044718671.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1048147223.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1050949665.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1051688339.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1052095724.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1052854295.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1057462029.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1060214168.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1071960213.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1072326766.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1075249116.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1078590865.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1080407872.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1081331009.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1085950509.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1089759212.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1094295442.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\109816879.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1101952886.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1103304372.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1105255922.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\111358933.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1119847734.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1123269893.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1124291241.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1127286868.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1134422280.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1148829591.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1149243998.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1152631724.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1166973570.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\11690064.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1179913576.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1181678723.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1182217128.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1185995427.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1200666322.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1203861431.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1207142999.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1208930498.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\121610069.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1218204606.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1222304315.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1231451126.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1236036550.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1241243048.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\125207834.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1252793337.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\125703440.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1258444443.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1258586775.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1261540961.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1270462565.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1272495783.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\127464350.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1276802461.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1281314946.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1287334854.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1292954141.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1298789590.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1299200628.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1303876802.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1304015285.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1312770396.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1312991272.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1315872826.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1322108824.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1326787301.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1328372449.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1331134229.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1332424855.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1333580402.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1336580642.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1339257499.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1342343254.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1355825847.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1357797590.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1358076537.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\136815898.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1371699817.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1383020993.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1391377544.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1396822256.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1396847821.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1400687003.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1403068754.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1406654897.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1408296206.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1410898675.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1411610648.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1412788738.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\142362483.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1426129628.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1430955699.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1439675422.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1442345924.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1443500189.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1444544314.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1446872004.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1448397186.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1456612395.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1458603668.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1462318476.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1463935986.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1465774459.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1468715314.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1474376023.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1474472052.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1484094890.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1488108256.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1490907378.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1497853421.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1498477767.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1498912692.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1501728003.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1508217938.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1510579448.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1519337929.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1521850100.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1522449555.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1523038784.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1529293180.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1535057791.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1536737469.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\153749509.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1539533561.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1540668864.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1541989559.jpg
